PlayerID,TimeNearCornerDuringEarthquake(s),Group
10,2.31,2
11,0.0,1
13,0.0,1
14,0.08,2
15,0.0,1
16,0.0,2
17,0.0,1
18,0.0,2
19,0.0,1
20,0.0,2
21,0.0,1
22,0.0,2
23,0.0,2
24,1.1,1
25,0.0,2
26,0.0,1
27,0.0,2
28,0.0,1
29,0.0,2
30,0.0,1
31,0.0,2
32,0.0,1
33,0.0,1
34,0.0,2
35,0.0,1
36,0.0,2
37,0.0,2
38,0.0,1
39,0.0,2
40,0.0,1
41,0.0,2
42,0.0,1
43,0.0,2
44,0.0,1
45,0.0,2
46,0.0,3
47,0.12,4
48,0.0,3
49,0.0,4
50,0.0,4
51,2.17,3
52,2.17,3
53,0.0,4
54,0.0,3
55,0.0,4
56,0.0,3
57,0.0,4
58,0.0,3
59,0.0,4
5,0.0,1
60,0.0,3
61,0.0,4
62,0.7,3
63,0.0,3
64,0.0,4
65,0.0,3
66,0.0,4
67,0.0,3
68,0.97,4
69,0.0,4
6,0.0,2
70,0.0,3
71,0.0,4
72,0.0,3
73,0.0,4
74,46.95,3
75,0.0,4
76,0.0,3
77,0.0,4
78,15.52,3
79,0.0,4
7,0.0,1
8,0.0,2
9,0.0,1
